Country Name,Country Code,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Lebanon,LBN,2019.0,2882.32,81.17,98.42
Lesotho,LSO,2019.0,1993.76,51.81,40.44
Liberia,LBR,2019.0,2105.44,43.68,45.48
Libya,LBY,2019.0,2997.86,84.58,105.53
Liechtenstein,LIE,,,,
Lithuania,LTU,2019.0,3359.3,126.83,118.87
Luxembourg,LUX,2019.0,3505.49,113.82,143.24
Madagascar,MDG,2019.0,1945.93,39.04,21.98
Malawi,MWI,2019.0,2574.69,65.19,43.42
Malaysia,MYS,2019.0,2892.36,88.43,99.44
Maldives,MDV,2019.0,2657.13,98.58,73.15
Mali,MLI,,,,
Malta,MLT,2019.0,3322.97,100.92,118.26
Marshall Islands,MHL,2019.0,2963.13,96.42,133.17
Mauritania,MRT,2019.0,2894.03,86.08,69.06
Mauritius,MUS,2019.0,3048.29,97.49,99.3
Mexico,MEX,2019.0,3252.08,97.69,100.9
"Micronesia, Fed. Sts.",FSM,,,,
Moldova,MDA,,,,
Monaco,MCO,,,,
Mongolia,MNG,2019.0,2856.13,118.72,125.92
Montenegro,MNE,2019.0,3567.99,126.41,136.09
Morocco,MAR,2019.0,3394.43,102.25,77.42
Mozambique,MOZ,2019.0,2108.42,44.18,38.87
Myanmar,MMR,2019.0,2795.32,97.2,83.15
Namibia,NAM,2019.0,2477.62,64.41,64.94
Nauru,NRU,2019.0,2985.75,110.1,128.66
Nepal,NPL,2019.0,2887.24,81.69,62.42
Netherlands,NLD,,,,
New Zealand,NZL,2019.0,3115.51,102.57,112.93
Nicaragua,NIC,2019.0,2680.61,70.07,66.0
Niger,NER,2019.0,2651.65,90.83,57.4
Nigeria,NGA,2019.0,2533.71,59.67,62.48
North Macedonia,MKD,2019.0,3434.24,100.84,120.55
Norway,NOR,2019.0,3533.81,130.34,137.11
Oman,OMN,2019.0,3062.92,90.99,96.75
Pakistan,PAK,2019.0,2526.58,70.94,92.25
Palau,PLW,,,,
Panama,PAN,2019.0,3048.93,95.9,105.11
Papua New Guinea,PNG,2019.0,2179.94,64.05,63.49
Paraguay,PRY,2019.0,3103.74,74.72,98.6
Peru,PER,2019.0,2835.06,88.63,66.69
Philippines,PHL,2019.0,2801.08,75.9,50.76
Poland,POL,2019.0,3577.34,117.56,131.36
Portugal,PRT,2019.0,3462.91,119.28,143.61
Qatar,QAT,2019.0,3414.33,114.23,115.05
Romania,ROU,2019.0,3650.09,110.2,128.47
Russian Federation,RUS,2019.0,3395.35,112.29,119.96
Rwanda,RWA,2019.0,2199.54,56.59,32.5
Samoa,WSM,2019.0,3084.11,104.24,117.21
San Marino,SMR,,,,
Sao Tome and Principe,STP,2019.0,2378.23,58.54,61.64
Saudi Arabia,SAU,2019.0,3786.13,105.97,115.18
Senegal,SEN,2019.0,2645.6,65.34,71.93
Serbia,SRB,2019.0,3678.86,127.8,105.18
Seychelles,SYC,2019.0,2860.36,99.95,79.61
Sierra Leone,SLE,2019.0,2306.63,55.16,50.74
Singapore,SGP,,,,
Slovak Republic,SVK,,,,
Slovenia,SVN,2019.0,3192.8,106.62,114.69
Solomon Islands,SLB,2019.0,2356.91,57.95,54.28
"Somalia, Fed. Rep.",SOM,,,,
South Africa,ZAF,2019.0,2789.48,79.85,88.76
South Sudan,SSD,,,,
Spain,ESP,2019.0,3349.21,115.67,153.45
Sri Lanka,LKA,2019.0,2718.94,72.86,45.8
St. Kitts and Nevis,KNA,,,,
St. Lucia,LCA,,,,
St. Vincent and the Grenadines,VCT,,,,
Sudan,SDN,,,,
Suriname,SUR,2019.0,2664.76,76.82,74.34
Sweden,SWE,2019.0,3233.46,113.12,132.12
Switzerland,CHE,2019.0,3417.58,99.79,158.8
Syrian Arab Republic,SYR,2019.0,2486.63,72.76,77.31
Tajikistan,TJK,2019.0,2710.66,82.41,81.85
Tanzania,TZA,,,,
Thailand,THA,2019.0,2800.6,66.85,61.11
Timor-Leste,TLS,2019.0,2256.51,60.77,62.26
Togo,TGO,,,,
Tonga,TON,2019.0,2897.83,130.69,117.0
Trinidad and Tobago,TTO,2019.0,3022.99,94.72,96.87
Tunisia,TUN,2019.0,3500.15,103.51,105.71
Turkiye,TUR,,,,
Turkmenistan,TKM,2019.0,2847.3,102.28,85.88
Tuvalu,TUV,2019.0,2993.31,92.89,109.56
Uganda,UGA,2019.0,2050.11,43.48,51.32
Ukraine,UKR,2019.0,2894.45,93.28,87.03
United Arab Emirates,ARE,2019.0,3246.76,92.96,132.46
United Kingdom,GBR,,,,
United States,USA,,,,
Uruguay,URY,2019.0,3307.76,100.83,121.03
Uzbekistan,UZB,2019.0,3236.34,105.4,95.4
Vanuatu,VUT,2019.0,2916.75,76.76,120.67
"Venezuela, RB",VEN,,,,
Viet Nam,VNM,2019.0,2922.1,92.13,59.84
West Bank and Gaza,PSE,,,,
"Yemen, Rep.",YEM,,,,
Zambia,ZMB,2019.0,2226.0,46.34,45.23
Zimbabwe,ZWE,2019.0,2144.17,59.32,66.37
