Country Name,Country Code,year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Monaco,MCO,,,,
Mongolia,MNG,2023.0,3031.07,132.13,128.75
Montenegro,MNE,2023.0,3669.43,134.43,143.66
Morocco,MAR,2023.0,3353.86,98.09,75.25
Mozambique,MOZ,2023.0,2186.13,44.69,40.1
Myanmar,MMR,2023.0,2809.02,78.39,58.75
Namibia,NAM,2023.0,2581.16,64.23,62.72
Nauru,NRU,2023.0,3087.34,111.13,124.83
Nepal,NPL,2023.0,2919.77,81.74,62.28
Netherlands,NLD,,,,
New Zealand,NZL,2023.0,3121.5,100.93,105.01
Nicaragua,NIC,2023.0,2760.19,73.77,65.64
Niger,NER,2023.0,2654.02,92.53,59.5
Nigeria,NGA,2023.0,2470.11,57.03,62.67
North Macedonia,MKD,2023.0,3475.55,103.11,116.0
Norway,NOR,2023.0,3475.59,125.45,137.28
Oman,OMN,2023.0,2981.33,85.62,97.46
Pakistan,PAK,2023.0,2513.76,73.39,86.23
Palau,PLW,,,,
Panama,PAN,2023.0,3104.59,93.54,101.88
Papua New Guinea,PNG,2023.0,2177.1,62.19,64.36
Paraguay,PRY,2023.0,3067.06,66.47,95.0
Peru,PER,2023.0,2810.52,88.55,67.11
Philippines,PHL,2023.0,2982.9,77.49,57.95
Poland,POL,2023.0,3730.14,117.73,141.12
Portugal,PRT,2023.0,3552.93,126.35,141.4
Qatar,QAT,2023.0,3251.08,105.09,108.97
Romania,ROU,2023.0,3648.94,112.42,137.57
Russian Federation,RUS,2023.0,3528.4,117.83,127.12
Rwanda,RWA,2023.0,2404.9,57.05,36.72
Samoa,WSM,2023.0,3116.51,105.3,111.03
San Marino,SMR,,,,
Sao Tome and Principe,STP,2023.0,2279.41,54.39,66.56
Saudi Arabia,SAU,2023.0,3659.84,103.8,109.04
Senegal,SEN,2023.0,2847.77,71.66,71.75
Serbia,SRB,2023.0,3878.93,135.58,113.87
Seychelles,SYC,2023.0,2888.64,104.35,85.73
Sierra Leone,SLE,2023.0,2437.3,57.58,37.75
Singapore,SGP,,,,
Slovak Republic,SVK,,,,
Slovenia,SVN,2023.0,3200.29,101.46,110.71
Solomon Islands,SLB,2023.0,2165.63,54.5,53.25
"Somalia, Fed. Rep.",SOM,,,,
South Africa,ZAF,2023.0,2693.94,79.18,95.57
South Sudan,SSD,,,,
Spain,ESP,2023.0,3377.16,117.64,152.8
Sri Lanka,LKA,2023.0,2675.11,67.54,39.61
St. Kitts and Nevis,KNA,,,,
St. Lucia,LCA,,,,
St. Vincent and the Grenadines,VCT,,,,
Sudan,SDN,,,,
Suriname,SUR,2023.0,2539.07,68.32,69.5
Sweden,SWE,2023.0,3366.78,112.8,146.57
Switzerland,CHE,2023.0,3402.39,101.41,162.33
Syrian Arab Republic,SYR,2023.0,2259.36,70.56,65.45
Tajikistan,TJK,2023.0,2711.69,83.14,86.23
Tanzania,TZA,,,,
Thailand,THA,2023.0,2855.27,68.63,57.28
Timor-Leste,TLS,2023.0,2276.55,65.4,61.36
Togo,TGO,,,,
Tonga,TON,2023.0,3059.05,129.3,124.12
Trinidad and Tobago,TTO,2023.0,2945.7,87.44,107.34
Tunisia,TUN,2023.0,3431.54,105.05,99.96
Turkiye,TUR,,,,
Turkmenistan,TKM,2023.0,2814.16,104.65,80.84
Tuvalu,TUV,2023.0,3300.92,103.1,117.0
Uganda,UGA,2023.0,2377.7,56.43,52.44
Ukraine,UKR,2023.0,2785.79,90.53,78.39
United Arab Emirates,ARE,2023.0,3125.09,96.68,125.87
United Kingdom,GBR,,,,
United States,USA,,,,
Uruguay,URY,2023.0,3322.74,104.53,122.68
Uzbekistan,UZB,2023.0,3297.23,111.42,105.52
Vanuatu,VUT,2023.0,2909.06,74.63,111.7
"Venezuela, RB",VEN,,,,
Viet Nam,VNM,2023.0,3086.03,102.2,73.75
West Bank and Gaza,PSE,,,,
"Yemen, Rep.",YEM,,,,
Zambia,ZMB,2023.0,2169.77,48.26,48.5
Zimbabwe,ZWE,2023.0,2393.38,69.11,85.32
