Country,Country Code,Year,"Prevalence of wasting, weight for height (% of children under 5)"
Mongolia,MNG,2010,1.6
Montenegro,MNE,2010,
Morocco,MAR,2010,
Mozambique,MOZ,2010,
Myanmar,MMR,2010,
Namibia,NAM,2010,
Nauru,NRU,2010,
Nepal,NPL,2010,13.7
Netherlands,NLD,2010,
New Zealand,NZL,2010,
Nicaragua,NIC,2010,
Niger,NER,2010,15.8
Nigeria,NGA,2010,
North Korea,PRK,2010,
North Macedonia,MKD,2010,
Norway,NOR,2010,
Oman,OMN,2010,
Pakistan,PAK,2010,
Palau,PLW,2010,
Palestine,,2010,
Panama,PAN,2010,
Papua New Guinea,PNG,2010,14.1
Paraguay,PRY,2010,
Peru,PER,2010,0.7
Philippines,PHL,2010,
Poland,POL,2010,
Portugal,PRT,2010,
Qatar,QAT,2010,
Romania,ROU,2010,
Russia,RUS,2010,
Rwanda,RWA,2010,2.9
Saint Kitts and Nevis,KNA,2010,
Saint Lucia,LCA,2010,
Saint Vincent and the Grenadines,VCT,2010,
Samoa,WSM,2010,
San Marino,SMR,2010,
Sao Tome and Principe,STP,2010,
Saudi Arabia,SAU,2010,
Senegal,SEN,2010,
Serbia,SRB,2010,3.5
Seychelles,SYC,2010,
Sierra Leone,SLE,2010,7.5
Singapore,SGP,2010,
Slovakia,SVK,2010,
Slovenia,SVN,2010,
Solomon Islands,SLB,2010,
Somalia,,2010,
South Africa,ZAF,2010,
South Korea,KOR,2010,
South Sudan,SSD,2010,22.7
Spain,ESP,2010,
Sri Lanka,LKA,2010,
Sudan,SDN,2010,15.4
Suriname,SUR,2010,5.0
Sweden,SWE,2010,
Switzerland,CHE,2010,
Syria,SYR,2010,11.5
Tajikistan,TJK,2010,
Tanzania,TZA,2010,4.9
Thailand,THA,2010,
Timor-Leste,TLS,2010,
Togo,TGO,2010,4.7
Tonga,TON,2010,
Trinidad and Tobago,TTO,2010,
Tunisia,TUN,2010,
Turkmenistan,TKM,2010,
Tuvalu,TUV,2010,
Türkiye,TUR,2010,
Uganda,UGA,2010,
Ukraine,UKR,2010,
United Arab Emirates,ARE,2010,
United Kingdom,GBR,2010,0.2
United States,USA,2010,0.1
Uruguay,URY,2010,
Uzbekistan,UZB,2010,
Vanuatu,VUT,2010,
Vatican City,,2010,
Venezuela,VEN,2010,
Vietnam,VNM,2010,4.1
Yemen,YEM,2010,
Zambia,ZMB,2010,
Zimbabwe,ZWE,2010,3.2
