Country,Country Code,Year,"Prevalence of wasting, weight for height (% of children under 5)"
Kazakhstan,KAZ,2004,
Kenya,KEN,2004,
Kiribati,KIR,2004,
Kuwait,KWT,2004,3.4
Kyrgyzstan,KGZ,2004,
Laos,LAO,2004,
Latvia,LVA,2004,
Lebanon,LBN,2004,6.6
Lesotho,LSO,2004,5.6
Liberia,LBR,2004,
Libya,LBY,2004,
Liechtenstein,LIE,2004,
Lithuania,LTU,2004,
Luxembourg,LUX,2004,
Madagascar,MDG,2004,15.1
Malawi,MWI,2004,6.3
Malaysia,MYS,2004,
Maldives,MDV,2004,
Mali,MLI,2004,
Malta,MLT,2004,
Marshall Islands,MHL,2004,
Mauritania,MRT,2004,
Mauritius,MUS,2004,
Mexico,MEX,2004,
Micronesia,FSM,2004,
Moldova,MDA,2004,
Monaco,MCO,2004,
Mongolia,MNG,2004,0.8
Montenegro,MNE,2004,
Morocco,MAR,2004,
Mozambique,MOZ,2004,
Myanmar,MMR,2004,
Namibia,NAM,2004,
Nauru,NRU,2004,
Nepal,NPL,2004,
Netherlands,NLD,2004,
New Zealand,NZL,2004,
Nicaragua,NIC,2004,0.4
Niger,NER,2004,
Nigeria,NGA,2004,
North Korea,PRK,2004,8.5
North Macedonia,MKD,2004,
Norway,NOR,2004,
Oman,OMN,2004,
Pakistan,PAK,2004,
Palau,PLW,2004,
Palestine,,2004,
Panama,PAN,2004,
Papua New Guinea,PNG,2004,
Paraguay,PRY,2004,
Peru,PER,2004,
Philippines,PHL,2004,
Poland,POL,2004,
Portugal,PRT,2004,
Qatar,QAT,2004,
Romania,ROU,2004,
Russia,RUS,2004,2.5
Rwanda,RWA,2004,
Saint Kitts and Nevis,KNA,2004,
Saint Lucia,LCA,2004,
Saint Vincent and the Grenadines,VCT,2004,
Samoa,WSM,2004,
San Marino,SMR,2004,
Sao Tome and Principe,STP,2004,
Saudi Arabia,SAU,2004,11.8
Senegal,SEN,2004,
Serbia,SRB,2004,
Seychelles,SYC,2004,
Sierra Leone,SLE,2004,
Singapore,SGP,2004,
Slovakia,SVK,2004,
Slovenia,SVN,2004,
Solomon Islands,SLB,2004,
Somalia,,2004,
South Africa,ZAF,2004,
South Korea,KOR,2004,
South Sudan,SSD,2004,
Spain,ESP,2004,
Sri Lanka,LKA,2004,
Sudan,SDN,2004,
Suriname,SUR,2004,
Sweden,SWE,2004,
Switzerland,CHE,2004,
Syria,SYR,2004,
Tajikistan,TJK,2004,
Tanzania,TZA,2004,3.5
Thailand,THA,2004,
Timor-Leste,TLS,2004,
Togo,TGO,2004,
Tonga,TON,2004,
Trinidad and Tobago,TTO,2004,
Tunisia,TUN,2004,
Turkmenistan,TKM,2004,
Tuvalu,TUV,2004,
Türkiye,TUR,2004,1.1
Uganda,UGA,2004,
Ukraine,UKR,2004,
United Arab Emirates,ARE,2004,
United Kingdom,GBR,2004,
United States,USA,2004,0.7
Uruguay,URY,2004,3.0
Uzbekistan,UZB,2004,
Vanuatu,VUT,2004,
Vatican City,,2004,
Venezuela,VEN,2004,5.2
Vietnam,VNM,2004,11.2
Yemen,YEM,2004,
Zambia,ZMB,2004,
Zimbabwe,ZWE,2004,
